poem_id,author_id,1sg,1pl,2sg,2pl_vy_polite_singular,2pl_vy_true_plural,2pl,n_total,exposure_n_stanzas,exposure_n_stanza_index_max,exposure_n_tokens,exposure_n_finite_verbs,exposure_n_finite_verbs_excl_imperative,min_stanzas,min_tokens,include_in_offset_models,include_in_fv_offset_models,include_in_fv_excl_imp_offset_models,language_clean,year_int,period3
UP342_1,A18,12,0,1,0,3,3,16,1,1.0,163,21,18,1,163,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP324_1,A30,7,14,10,0,7,7,38,10,10.0,306,41,33,10,25,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP349_1,A30,4,0,4,0,0,0,8,1,1.0,46,6,4,1,46,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP35_1,A25,10,0,1,0,1,1,12,1,1.0,143,20,19,1,143,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP351_1,A18,0,0,7,0,0,0,7,1,1.0,174,15,13,1,174,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP358_1,A30,0,0,2,0,0,0,2,1,1.0,85,34,34,1,85,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP36_1,A30,0,0,2,0,0,0,2,1,1.0,167,25,25,1,167,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP363_1,A16,0,2,0,0,1,1,3,1,1.0,136,14,14,1,136,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP371_1,A28,1,0,0,0,0,0,1,1,1.0,93,11,11,1,93,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP372_1,A18,1,0,1,0,0,0,2,1,1.0,140,17,17,1,140,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP364_1,A18,2,2,0,0,0,0,4,1,1.0,118,7,7,1,118,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP38_1,A25,2,1,0,0,0,0,3,1,1.0,29,2,2,1,29,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP380_1,A18,3,0,1,0,0,0,4,1,1.0,85,7,6,1,85,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP379_2,A18,0,0,2,0,0,0,2,1,1.0,135,16,16,1,135,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP386_1,A18,4,1,0,0,0,0,5,1,1.0,60,11,11,1,60,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP377_1,A30,6,0,13,0,0,0,19,8,9.0,263,37,33,8,30,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP39_1,A20,0,0,4,0,0,0,4,1,1.0,118,19,16,1,118,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP334_1,A06,4,0,7,0,1,1,12,1,1.0,158,146,132,1,158,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP360_1,A30,1,3,8,0,0,0,12,1,1.0,166,145,142,1,166,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP4_1,A05,4,1,1,0,0,0,6,5,7.0,99,7,5,5,6,True,True,True,Russian,2013.0,unknown
UP402_3,A30,7,0,6,0,0,0,13,1,1.0,91,18,17,1,91,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP402_2,A30,5,0,17,0,0,0,22,1,1.0,131,31,26,1,131,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP40_1,A05,2,0,0,0,0,0,2,1,4.0,32,0,0,1,32,True,False,False,Russian,2014.0,P1_2014_2021
UP402_1,A30,5,1,12,0,4,4,22,1,1.0,196,47,43,1,196,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP408_1,A30,23,1,2,0,0,0,26,1,1.0,214,41,41,1,214,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP404_1,A30,6,2,17,0,1,1,26,1,1.0,169,27,19,1,169,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP369_1,A30,46,9,5,0,11,11,71,23,36.0,600,101,94,23,4,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP305_1,A30,50,70,46,0,2,2,168,1,1.0,3497,325,318,1,3497,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP420_1,A05,2,2,0,0,2,2,6,1,1.0,88,1,0,1,88,True,True,False,Russian,2014.0,P1_2014_2021
UP411_1,A30,0,1,20,0,0,0,21,6,6.0,165,31,30,6,24,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP422_1,A28,2,4,0,0,0,0,6,1,1.0,91,12,12,1,91,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP423_1,A28,1,6,1,0,0,0,8,1,1.0,69,9,9,1,69,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP427_1,A18,4,0,6,0,2,2,12,1,1.0,80,10,7,1,80,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP428_1,A18,5,0,8,0,0,0,13,1,1.0,109,19,15,1,109,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP424_1,A18,0,0,4,0,0,0,4,1,1.0,140,12,11,1,140,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP438_1,A18,0,1,0,0,0,0,1,1,1.0,13,3,3,1,13,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP431_1,A30,0,0,5,0,0,0,5,2,2.0,58,2,0,2,28,True,True,False,Ukrainian,2014.0,P1_2014_2021
UP432_1,A18,3,2,7,0,0,0,12,1,1.0,106,12,7,1,106,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP435_1,A18,0,4,0,0,0,0,4,1,1.0,99,11,11,1,99,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP430_1,A18,0,0,6,0,0,0,6,1,1.0,103,21,21,1,103,True,True,True,Ukrainian,2014.0,P1_2014_2021
